CPI|500999800312687|500999800485742|20150709|CNY|785000.00|785000.00|785000.00|SP01011
CPI|500999800393613|500999802218387|20160510|CNY|628000.00|628000.00|628000.00|SP01148
CPI|500999800497467|500999800135068|20160509|USD|106760.00|723234.94|726964.79|SP00846
CPI|500999800559666|500999803000489|20170324|CNY|1607680.00|1607680.00|1607680.00|SP00007
CPI|500999800692022|500999803120826|20170621|CNY|314000.00|314000.00|20933.34|SP00025
CPI|500999800372469|500999802212349|20151209|CNY|3140000.00|3140000.00|3140000.00|SP01069
CPI|500999800170896|500999802992114|20170320|CNY|942000.00|942000.00|942000.00|SP00912
CPI|500999800271419|500999802848672|20161206|CNY|3768000.00|3768000.00|3768000.00|SP00905
CPI|500999800747628|500999803070190|20170517|CNY|314000.00|314000.00|314000.00|SP00263
CPI|500999800310814|500999800189858|20160620|USD|157000.00|1063580.80|1069065.85|SP00848
CPI|500999800220293|500999800139296|20160408|USD|73579.62|498457.79|501028.42|SP00836
CPI|500999800564490|500999800488597|20150818|CNY|628000.00|628000.00|628000.00|SP00809
CPI|500999800734613|500999803070137|20170517|CNY|314000.00|314000.00|314000.00|SP00263
CPI|500999800135982|500999802238833|20160711|CNY|565200.00|565200.00|565200.00|SP00852
CPI|500999800669150|500999803027424|20170414|CNY|439600.00|439600.00|439600.00|SP00915
CPI|500999800265931|500999800485388|20150702|CNY|628000.00|628000.00|628000.00|SP01012
CPI|500999800615316|500999803112322|20170615|CNY|1413000.00|1413000.00|235500.00|SP00924
CPI|500999800316016|500999802302790|20160902|CNY|942000.00|942000.00|942000.00|SP01204
CPI|500999800526141|500999802741257|20160928|CNY|1871026.87|1871026.87|1871026.87|SP00884
CPI|500999800197090|500999802938180|20170213|USD|47100.00|319074.24|320719.76|SP00220
CPI|500999800478856|500999803036703|20170421|CNY|628000.00|628000.00|628000.00|SP00010
CPI|500999800535255|500999802257580|20160726|CNY|157000.00|157000.00|157000.00|SP00858
CPI|500999800646806|500999802979788|20170313|USD|125600.00|850864.64|855252.70|SP00234
CPI|500999800574008|500999802992111|20170320|CNY|314000.00|314000.00|314000.00|SP00912
